company,type,address,price,sq_meter_price,area,n_rooms,floor,build_year,market
Domesta Sp. z o.o.,Mieszkanie,"Gdañsk £ostowice, Niepo³omicka",359169.10,7668,46.84,2,0,2021,pierwotny
Inpro,Mieszkanie,"Gdañsk Kokoszki, Nowatorów",341370.72,8208,41.59,2,3,2022,pierwotny
Portal Office Sp. z o.o,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",451889,13900,32.51,2,4,2020,pierwotny
PB SZYMICHOWSKI,Mieszkanie,"Pruszcz Gdañski, Cicha",359316,6480,55.45,3,3,2021,pierwotny
Tekton Capital,Mieszkanie,"Gdañsk Wrzeszcz, Migowska",795700,10900,73,4,0,2020,pierwotny
Dom & House,Mieszkanie,"Gdañsk Œródmieœcie, Wa³owa",235000,11169,21.04,1,0,2020,pierwotny
Portal Office Sp. z o.o,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",939957,13700,68.61,4,2,2020,pierwotny
Cordia Polska,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 87B",1567620,13500,116.12,4,0,2022,pierwotny
Cordia Polska,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85",726185,11675,62.20,3,0,2022,pierwotny
Cordia Polska,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85",800945.25,10675,75.03,3,0,2022,pierwotny
Cordia Polska,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85",800945.25,10675,75.03,3,2,2022,pierwotny
Cordia Polska,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85",489344,12800,38.23,2,1,2022,pierwotny
Pomorskie Domy,Dom bliŸniak,"Gdañsk £ostowice, Wielkopolska 2",899000,6282.32,143.10,5,0,2021,pierwotny
Pomorskie Domy,Mieszkanie,"Gdañsk Osowa, Centaura",520000,8087.09,64.30,3,1,2021,pierwotny
Pomorskie Domy,Mieszkanie,"Gdañsk Osowa, Centaura",540000,8398.13,64.30,3,2,2021,pierwotny
Balton Invest,Dom szeregowy,"Gdañsk Matemblewo, Dolne Migowo",1169000,7227.20,161.75,4,0,2021,pierwotny
Balton Invest,Dom szeregowy,"Gdañsk Matemblewo, Dolne Migowo",1099000,6785.21,161.97,4,0,2021,pierwotny
Color House Development,Mieszkanie,"Gdynia Wiczlino, Têczowa",649000,5738.28,113.10,5,0,2020,pierwotny
Galeria Nieruchomoœci,Dom bliŸniak,"Gdañsk Kie³pino Górne, Wiosenna",699000,6662,104.92,5,0,0,pierwotny
ACTIVA AP,Mieszkanie,Pruszcz Gdañski Rotmanka,277780,6800,40.85,2,1,2020,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",344918,7100,48.58,3,1,2022,pierwotny
Galeria Nieruchomoœci,Dom szeregowy,Gdañsk Kowale,409000,5849.54,69.92,3,0,2020,pierwotny
Domesta Sp. z o.o.,Mieszkanie,"Gdañsk Ujeœcisko, Vaclawa Havla",362218.50,9450,38.33,2,1,2022,pierwotny
Domesta Sp. z o.o.,Mieszkanie,"Gdañsk Ujeœcisko, Vaclawa Havla",509094.70,7776,65.47,3,0,2022,pierwotny
Domesta Sp. z o.o.,Mieszkanie,"Gdañsk Ujeœcisko, Vaclawa Havla",605828.20,7776,77.91,4,4,2021,pierwotny
Budner Inwestycje,Mieszkanie,"Gdañsk Letnica, Starowiejska 63",474432,8400,56.48,3,5,2021,pierwotny
Pepper House,Dom bliŸniak,"K¹pino, Akacjowa",569000,3368,168.92,6,0,0,pierwotny
Portal Office Sp. z o.o,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",545790,13800,39.55,2,2,2020,pierwotny
Dekpol,Mieszkanie,"Gdañsk £ostowice, Pastelowa",549900,5209,105.57,3,3,0,pierwotny
