company,address,price,sq_meter_price,area,n_rooms,floor,build_year,type
Domesta Sp. z o.o.,"Gdañsk £ostowice, Niepo³omicka","359 169,10 z³",7 668 z³,"46,84",2,,2021,Mieszkanie
Inpro,"Gdañsk Kokoszki, Nowatorów","341 370,72 z³",8 208 z³,"41,59",2,3,2022,Mieszkanie
Portal Office Sp. z o.o,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",451 889 z³,13 900 z³,"32,51",2,4,2020,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, Cicha",359 316 z³,6 480 z³,"55,45",3,3,2021,Mieszkanie
Tekton Capital,"Gdañsk Wrzeszcz, Migowska",795 700 z³,10 900 z³,73,4,Parter,2020,Mieszkanie
Dom & House,"Gdañsk Œródmieœcie, Wa³owa",235 000 z³,11 169 z³,"21,04",1,Parter,2020,Mieszkanie
Portal Office Sp. z o.o,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",939 957 z³,13 700 z³,"68,61",4,2,2020,Mieszkanie
Cordia Polska,"Gdañsk Wrzeszcz, Jaœkowa Dolina 87B",1 567 620 z³,13 500 z³,"116,12",4,Parter,2022,Mieszkanie
Cordia Polska,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85",726 185 z³,11 675 z³,"62,20",3,Parter,2022,Mieszkanie
Cordia Polska,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85","800 945,25 z³",10 675 z³,"75,03",3,Parter,2022,Mieszkanie
Cordia Polska,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85","800 945,25 z³",10 675 z³,"75,03",3,2,2022,Mieszkanie
Cordia Polska,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85",489 344 z³,12 800 z³,"38,23",2,1,2022,Mieszkanie
Pomorskie Domy,"Gdañsk £ostowice, Wielkopolska 2",899 000 z³,"6 282,32 z³","143,10",5,,2021,Dom bliŸniak
Pomorskie Domy,"Gdañsk £ostowice, Wielkopolska 2",899 000 z³,"6 282,32 z³","143,10",5,,2021,Dom bliŸniak
Pomorskie Domy,"Gdañsk £ostowice, Wielkopolska 2",899 000 z³,"6 282,32 z³","143,10",5,,2021,Dom bliŸniak
Pomorskie Domy,"Gdañsk Osowa, Centaura",520 000 z³,"8 087,09 z³","64,30",3,1,2021,Mieszkanie
Pomorskie Domy,"Gdañsk Osowa, Centaura",540 000 z³,"8 398,13 z³","64,30",3,2,2021,Mieszkanie
Balton Invest,"Gdañsk Matemblewo, Dolne Migowo",1 169 000 z³,"7 227,20 z³","161,75",4,,2021,Dom szeregowy
Balton Invest,"Gdañsk Matemblewo, Dolne Migowo",1 099 000 z³,"6 785,21 z³","161,97",4,,2021,Dom szeregowy
Balton Invest,"Gdañsk Matemblewo, Dolne Migowo",1 099 000 z³,"6 785,21 z³","161,97",4,,2021,Dom szeregowy
Color House Development,"Gdynia Wiczlino, Têczowa",649 000 z³,"5 738,28 z³","113,10",5,Parter,2020,Mieszkanie
Galeria Nieruchomoœci,"Gdañsk Kie³pino Górne, Wiosenna",699 000 z³,6 662 z³,"104,92",5,,,Dom bliŸniak
ACTIVA AP,Pruszcz Gdañski Rotmanka,277 780 z³,6 800 z³,"40,85",2,1,2020,Mieszkanie
ACTIVA AP,"Pruszcz Gdañski, Œwiêtego Wojciecha",344 918 z³,7 100 z³,"48,58",3,1,2022,Mieszkanie
Galeria Nieruchomoœci,Gdañsk Kowale,409 000 z³,"5 849,54 z³","69,92",3,,2020,Dom szeregowy
